customer_id,customer_name,gender,date_of_birth,city,state,pincode,registration_date,acquisition_channel,customer_segment,is_repeat_customer,churn_risk,customer_lifetime_value
56,Riya Agarwal,Male,2000-05-15,Delhi,Delhi,110030,2025-02-08,Organic Search,High Value,No,Low,31047
57,Arjun Kulkarni,Female,1991-12-30,Indore,Madhya Pradesh,452056,2025-04-20,Organic Search,At Risk,Yes,High,6015
58,Reyansh Deshmukh,Female,2005-08-13,Mumbai,Maharashtra,400030,2025-06-14,Paid Search,New,No,Medium,40771
59,Rajesh Verma,Male,1990-11-13,Kolkata,West Bengal,700014,2025-04-29,Paid Search,High Value,Yes,Medium,17978
60,Nikhil Chowdhury,Male,1967-12-04,Hyderabad,Telangana,500066,2024-08-29,Paid Search,High Value,No,High,17552
61,Diya Mehta,Male,2005-02-09,Delhi,Delhi,110053,2026-05-15,Social Media,New,Yes,Low,15060
62,Poonam Gupta,Male,1975-07-19,Pune,Maharashtra,411048,2026-01-25,Organic Search,New,Yes,Medium,25330
63,Ayaan Nair,Female,2000-11-14,Chennai,Tamil Nadu,600062,2025-01-06,Marketplace Campaign,High Value,Yes,Low,45819
64,Tanvi Das,Male,1989-07-20,Ahmedabad,Gujarat,380086,2025-10-16,Marketplace Campaign,New,No,Medium,22527
65,Rajesh Kulkarni,Female,1981-01-13,Jaipur,Rajasthan,302063,2025-06-06,Referral,New,No,Low,13475
66,Kavya Mehta,Female,1991-03-03,Kolkata,West Bengal,700066,2026-06-10,Direct,High Value,Yes,High,33409
67,Aadhya Gupta,Female,1967-08-23,Ahmedabad,Gujarat,380023,2026-05-21,Organic Search,High Value,No,High,28215
68,Amit Reddy,Female,1985-02-13,Hyderabad,Telangana,500070,2025-01-15,Social Media,Returning,No,Medium,34027
69,Sai Singh,Female,1979-09-09,Lucknow,Uttar Pradesh,226087,2025-12-27,Social Media,New,No,Medium,9697
70,Sneha Sharma,Female,1984-04-13,Delhi,Delhi,110093,2025-11-23,Marketplace Campaign,New,No,Medium,21567
71,Amit Rao,Male,1982-01-20,Jaipur,Rajasthan,302015,2024-11-09,Organic Search,At Risk,No,Medium,12570
72,Amit Verma,Female,1971-09-18,Kochi,Kerala,682063,2024-08-05,Social Media,High Value,Yes,Medium,12022
73,Neha Patel,Female,1968-06-04,Indore,Madhya Pradesh,452019,2025-10-11,Paid Search,New,No,Medium,40441
74,Aditya Joshi,Male,1973-06-22,Lucknow,Uttar Pradesh,226050,2025-01-02,Direct,New,Yes,Low,45045
75,Gaurav Mukherjee,Female,1970-04-27,Lucknow,Uttar Pradesh,226029,2024-11-20,Paid Search,New,No,Low,16616
76,Krishna Sharma,Male,1982-10-17,Indore,Madhya Pradesh,452095,2025-07-13,Direct,High Value,Yes,High,21975
77,Swati Chowdhury,Female,1986-04-03,Patna,Bihar,800095,2025-04-08,Organic Search,At Risk,No,Low,29091
78,Kavya Joshi,Male,1985-04-26,Bengaluru,Karnataka,560062,2026-03-09,Social Media,New,Yes,High,41854
79,Tanvi Bhat,Male,1998-05-09,Chennai,Tamil Nadu,600010,2026-05-28,Organic Search,New,Yes,Low,8896
80,Reyansh Agarwal,Male,1992-09-11,Mumbai,Maharashtra,400088,2024-11-02,Social Media,Returning,No,Low,49665
81,Ayaan Verma,Female,1980-09-02,Kolkata,West Bengal,700021,2026-04-01,Paid Search,At Risk,No,Medium,6988
82,Vihaan Mehta,Male,1972-08-13,Mumbai,Maharashtra,400066,2025-07-24,Organic Search,New,No,Low,4455
83,Sai Verma,Female,2003-06-26,Lucknow,Uttar Pradesh,226057,2025-05-09,Organic Search,New,No,Medium,14648
84,Poonam Deshmukh,Female,1983-04-28,Chennai,Tamil Nadu,600061,2024-08-17,Organic Search,New,Yes,Medium,47294
85,Diya Das,Female,1978-07-15,Patna,Bihar,800032,2025-06-23,Social Media,New,Yes,Low,47134
86,Kirti Kulkarni,Male,1976-04-09,Kolkata,West Bengal,700030,2025-06-16,Paid Search,New,Yes,High,40451
87,Poonam Sharma,Female,1997-06-07,Jaipur,Rajasthan,302061,2026-01-03,Organic Search,New,Yes,High,45799
88,Ananya Joshi,Male,1970-12-03,Jaipur,Rajasthan,302016,2026-02-26,Social Media,New,No,Medium,10244
89,Rahul Kulkarni,Female,1980-01-06,Bengaluru,Karnataka,560060,2024-12-19,Organic Search,New,No,High,30183
90,Nisha Singh,Male,1998-03-10,Indore,Madhya Pradesh,452059,2026-05-25,Social Media,New,No,High,4613
91,Aadhya Joshi,Male,1970-11-12,Chennai,Tamil Nadu,600062,2025-12-05,Organic Search,High Value,Yes,Low,16120
92,Ishaan Das,Male,1991-01-14,Kochi,Kerala,682073,2025-08-18,Direct,Returning,No,Low,15823
93,Neha Reddy,Male,1999-09-14,Indore,Madhya Pradesh,452069,2026-01-28,Organic Search,High Value,No,Low,2385
94,Arjun Mehta,Female,2000-04-01,Hyderabad,Telangana,500011,2025-09-10,Social Media,New,Yes,High,7577
95,Ishaan Sen,Female,1978-12-07,Patna,Bihar,800029,2025-01-22,Direct,New,No,Medium,5654
96,Kirti Reddy,Male,1981-04-01,Indore,Madhya Pradesh,452086,2026-02-24,Organic Search,New,No,High,34029
97,Ananya Mukherjee,Female,1965-12-11,Lucknow,Uttar Pradesh,226077,2024-12-21,Marketplace Campaign,Returning,No,High,40182
98,Vivaan Sen,Male,2006-02-12,Chennai,Tamil Nadu,600073,2025-01-12,Referral,New,Yes,Medium,23241
99,Amit Verma,Female,1975-06-10,Chennai,Tamil Nadu,600065,2026-02-12,Organic Search,High Value,No,Low,46484
100,Rahul Sen,Male,2003-05-30,Chennai,Tamil Nadu,600050,2025-03-22,Direct,New,Yes,Low,7043
101,Alok Nair,Male,1972-11-02,Delhi,Delhi,110047,2026-06-09,Social Media,New,Yes,Low,28499
102,Ananya Rao,Female,1997-03-28,Indore,Madhya Pradesh,452070,2024-11-17,Organic Search,New,Yes,High,18188
103,Riya Kumar,Male,2001-02-11,Indore,Madhya Pradesh,452019,2026-03-07,Organic Search,New,No,Low,31772
104,Neha Sharma,Male,1989-11-17,Kolkata,West Bengal,700069,2026-01-27,Paid Search,At Risk,Yes,Low,47451
105,Sanjay Gupta,Male,1990-11-18,Indore,Madhya Pradesh,452011,2025-12-26,Social Media,High Value,Yes,Low,27665
106,Kavya Agarwal,Female,1967-08-09,Patna,Bihar,800049,2026-03-15,Direct,High Value,No,High,3264
107,Meera Singh,Male,1971-04-27,Kolkata,West Bengal,700047,2024-10-01,Paid Search,New,No,Medium,29682
108,Rohan Joshi,Female,2000-07-12,Kochi,Kerala,682096,2024-08-18,Paid Search,New,Yes,High,11991
109,Ananya Chatterjee,Male,1975-11-30,Hyderabad,Telangana,500039,2024-11-29,Paid Search,New,No,Low,44900
110,Arjun Singh,Female,1995-01-17,Hyderabad,Telangana,500023,2025-10-25,Organic Search,At Risk,Yes,Medium,48096
111,Swati Singh,Female,1964-08-17,Jaipur,Rajasthan,302084,2025-09-22,Marketplace Campaign,New,No,High,5863
112,Vihaan Singh,Female,1997-03-01,Jaipur,Rajasthan,302043,2025-03-24,Direct,High Value,Yes,Medium,10360
113,Sunita Verma,Male,1990-12-13,Kochi,Kerala,682097,2025-04-24,Paid Search,New,Yes,High,31775
114,Nisha Rao,Female,2000-12-31,Mumbai,Maharashtra,400098,2025-05-27,Paid Search,High Value,Yes,Medium,2702
115,Aarav Joshi,Male,1979-11-14,Ahmedabad,Gujarat,380044,2025-03-11,Referral,New,No,High,39455
116,Krishna Nair,Male,1985-12-24,Patna,Bihar,800022,2026-01-31,Organic Search,New,No,Medium,11331
117,Ananya Mukherjee,Other,1967-01-03,Kolkata,West Bengal,700079,2024-10-25,Paid Search,New,Yes,Low,3009
118,Aarav Bhat,Male,1966-04-08,Delhi,Delhi,110077,2025-06-02,Referral,New,No,Medium,43440
119,Aarav Chatterjee,Male,1989-04-02,Delhi,Delhi,110027,2025-01-17,Direct,New,No,Medium,24114
120,Poonam Nair,Female,1980-10-31,Jaipur,Rajasthan,302019,2025-10-15,Organic Search,Returning,No,High,42285
121,Divya Patel,Male,1965-03-09,Mumbai,Maharashtra,400066,2025-05-23,Paid Search,New,No,Medium,44500
122,Arjun Kulkarni,Female,1982-06-26,Mumbai,Maharashtra,400066,2026-07-29,Organic Search,New,Yes,Medium,6051
123,Vivaan Sen,Male,1972-06-28,Mumbai,Maharashtra,400068,2025-08-29,Social Media,New,No,Medium,39051
124,Sanjay Reddy,Male,1989-06-24,Jaipur,Rajasthan,302092,2025-09-17,Social Media,New,Yes,Low,41231
125,Sneha Deshmukh,Male,1981-07-03,Indore,Madhya Pradesh,452046,2025-07-07,Direct,High Value,Yes,Medium,25638
126,Rahul Agarwal,Female,1978-09-17,Hyderabad,Telangana,500078,2025-04-14,Marketplace Campaign,New,No,Low,7508
127,Ayaan Singh,Male,1992-01-21,Ahmedabad,Gujarat,380033,2025-09-21,Organic Search,New,No,Medium,35705
128,Neha Das,Male,2005-07-12,Lucknow,Uttar Pradesh,226069,2024-11-15,Referral,New,No,Low,32294
129,Sanjay Gupta,Male,1988-01-18,Delhi,Delhi,110025,2025-04-08,Paid Search,Returning,No,Medium,16308
130,Reyansh Verma,Female,1993-01-24,Kolkata,West Bengal,700038,2024-08-01,Social Media,New,No,Low,33232
131,Priya Mukherjee,Male,1980-05-25,Kolkata,West Bengal,700030,2024-09-27,Organic Search,New,No,High,37816
132,Krishna Mehta,Female,1980-02-17,Lucknow,Uttar Pradesh,226084,2025-12-23,Referral,New,Yes,Low,9811
133,Priya Joshi,Female,1991-07-04,Indore,Madhya Pradesh,452047,2025-10-26,Referral,High Value,No,High,9021
134,Rahul Chowdhury,Male,1989-03-22,Chennai,Tamil Nadu,600013,2026-06-08,Social Media,High Value,No,Medium,31267
135,Rahul Chatterjee,Female,2006-05-12,Lucknow,Uttar Pradesh,226019,2025-03-08,Organic Search,High Value,Yes,Medium,18882
136,Nikhil Sen,Male,1987-02-19,Jaipur,Rajasthan,302010,2025-08-22,Organic Search,High Value,No,High,38260
137,Ishaan Bhat,Male,1971-05-15,Kochi,Kerala,682026,2025-02-19,Organic Search,New,No,Medium,21900
138,Alok Chatterjee,Female,1993-06-05,Indore,Madhya Pradesh,452036,2025-07-21,Organic Search,New,Yes,High,2780
139,Divya Patel,Female,1982-11-17,Kolkata,West Bengal,700099,2025-05-11,Paid Search,New,No,Medium,13121
140,Sunita Rao,Female,1988-09-23,Delhi,Delhi,110012,2024-08-14,Organic Search,Returning,Yes,High,43715
141,Vihaan Das,Male,2004-07-03,Bengaluru,Karnataka,560097,2026-05-21,Social Media,New,No,Low,15301
142,Vivaan Sen,Female,1998-07-07,Jaipur,Rajasthan,302023,2024-11-23,Social Media,New,No,Medium,42290
143,Sai Deshmukh,Female,1981-07-31,Hyderabad,Telangana,500041,2024-10-08,Social Media,New,No,High,23990
144,Poonam Nair,Female,1987-07-13,Mumbai,Maharashtra,400038,2026-06-24,Social Media,New,No,Medium,18347
145,Ananya Rao,Female,1979-01-23,Pune,Maharashtra,411027,2025-04-22,Marketplace Campaign,New,Yes,Medium,30964
146,Riya Patel,Male,1982-08-02,Ahmedabad,Gujarat,380046,2026-05-26,Referral,At Risk,No,Low,5793
147,Kavya Mukherjee,Male,1970-05-29,Patna,Bihar,800064,2025-11-09,Social Media,New,No,Medium,34300
148,Sunita Singh,Male,2000-11-10,Kochi,Kerala,682073,2026-07-02,Organic Search,High Value,No,Medium,30245
149,Rajesh Deshmukh,Male,1984-08-17,Patna,Bihar,800070,2025-01-06,Paid Search,New,No,Low,35886
150,Vivaan Nair,Female,1996-09-03,Delhi,Delhi,110012,2026-01-17,Referral,High Value,Yes,Low,33543
151,Arjun Kumar,Male,1972-12-18,Ahmedabad,Gujarat,380095,2024-10-28,Direct,High Value,No,Medium,10100
152,Sanjay Sharma,Male,1996-11-19,Indore,Madhya Pradesh,452076,2026-01-03,Social Media,New,Yes,Low,16372
153,Vivaan Kumar,Male,1964-10-05,Kochi,Kerala,682076,2026-02-03,Organic Search,New,No,Low,25781
154,Riya Gupta,Female,1985-06-01,Indore,Madhya Pradesh,452022,2025-02-12,Affiliate,Returning,No,High,43575
155,Sai Kulkarni,Female,1975-12-14,Kolkata,West Bengal,700038,2026-06-20,Social Media,Returning,Yes,High,38056
156,Amit Gupta,Male,2002-12-09,Pune,Maharashtra,411072,2025-03-14,Direct,High Value,No,Medium,15471
157,Sunita Kumar,Male,1984-10-19,Patna,Bihar,800041,2025-10-23,Paid Search,High Value,No,Low,35656
158,Ayaan Singh,Male,1987-03-19,Patna,Bihar,800051,2026-02-24,Referral,New,No,Low,27120
159,Sanjay Mukherjee,Female,2001-01-05,Jaipur,Rajasthan,302074,2025-04-15,Social Media,New,No,High,27673
160,Shreya Joshi,Male,1969-06-14,Bengaluru,Karnataka,560075,2025-05-08,Social Media,New,No,High,22615
161,Vivaan Das,Female,1992-10-24,Pune,Maharashtra,411092,2026-07-30,Paid Search,New,Yes,Medium,28607
162,Poonam Sen,Male,1983-07-11,Patna,Bihar,800039,2026-07-17,Paid Search,New,No,High,48342
163,Arjun Gupta,Male,1994-03-12,Patna,Bihar,800070,2024-08-19,Social Media,Returning,No,Low,29324
164,Aadhya Bhat,Male,1968-07-18,Lucknow,Uttar Pradesh,226089,2026-07-31,Social Media,New,No,Medium,13794
165,Tanvi Rao,Male,1998-08-14,Pune,Maharashtra,411095,2025-05-28,Organic Search,New,No,High,14428
166,Manish Bhat,Male,1972-12-19,Delhi,Delhi,110062,2025-11-13,Affiliate,High Value,No,Low,20371
167,Gaurav Sen,Female,1981-09-24,Hyderabad,Telangana,500054,2024-09-10,Social Media,New,No,Medium,30846
168,Nisha Gupta,Female,1979-03-31,Jaipur,Rajasthan,302061,2025-04-07,Social Media,New,No,Medium,45084
169,Divya Gupta,Female,2000-07-20,Patna,Bihar,800075,2025-01-17,Direct,New,Yes,Medium,34053
170,Reyansh Chowdhury,Male,1977-02-15,Kochi,Kerala,682086,2024-08-12,Organic Search,High Value,Yes,Low,7561
171,Poonam Gupta,Male,2003-07-24,Delhi,Delhi,110047,2026-03-25,Social Media,New,No,Medium,26891
172,Divya Agarwal,Female,1984-02-18,Delhi,Delhi,110099,2024-11-25,Direct,New,No,High,26770
173,Gaurav Das,Male,1990-01-05,Delhi,Delhi,110057,2024-09-21,Marketplace Campaign,New,Yes,Low,3052
174,Sneha Sen,Female,1982-01-30,Delhi,Delhi,110014,2026-03-23,Paid Search,New,No,Low,5296
175,Ayaan Agarwal,Male,2005-04-26,Lucknow,Uttar Pradesh,226013,2025-11-20,Direct,New,Yes,High,11375
176,Rohan Singh,Male,1999-03-20,Patna,Bihar,800039,2025-02-20,Social Media,High Value,Yes,High,38497
177,Rohan Verma,Female,1994-11-26,Bengaluru,Karnataka,560035,2026-03-04,Referral,High Value,No,Medium,17348
178,Kavya Kumar,Female,1990-09-17,Delhi,Delhi,110080,2025-07-10,Marketplace Campaign,High Value,Yes,High,16417
179,Deepak Chatterjee,Male,2002-04-24,Patna,Bihar,800044,2026-01-09,Affiliate,New,Yes,High,3529
180,Kirti Verma,Female,1987-05-16,Indore,Madhya Pradesh,452010,2026-02-20,Organic Search,Returning,No,High,42734
181,Aarav Patel,Female,2004-10-19,Indore,Madhya Pradesh,452078,2026-05-07,Affiliate,New,Yes,High,42750
182,Sunita Patel,Male,1995-10-11,Kolkata,West Bengal,700028,2026-02-09,Social Media,New,Yes,Medium,48546
183,Kavya Singh,Female,1999-08-01,Delhi,Delhi,110011,2025-12-18,Organic Search,New,No,High,29107
184,Sanjay Gupta,Female,1970-02-15,Indore,Madhya Pradesh,452097,2024-09-06,Organic Search,High Value,No,Low,41306
185,Divya Patel,Female,1994-07-27,Bengaluru,Karnataka,560011,2026-02-20,Marketplace Campaign,High Value,No,High,5592
186,Pooja Sharma,Male,1979-02-23,Indore,Madhya Pradesh,452035,2026-03-24,Direct,High Value,Yes,Low,12100
187,Ishaan Chatterjee,Male,1994-04-04,Delhi,Delhi,110056,2025-07-10,Organic Search,High Value,No,Low,15832
188,Neha Gupta,Male,1975-09-06,Ahmedabad,Gujarat,380088,2025-01-27,Paid Search,High Value,No,High,42385
189,Reyansh Kulkarni,Male,1985-07-10,Chennai,Tamil Nadu,600083,2025-04-25,Paid Search,High Value,No,Medium,11879
190,Meera Verma,Female,1998-08-04,Kolkata,West Bengal,700081,2024-12-10,Paid Search,New,No,Medium,29368
191,Sai Sharma,Female,1972-06-28,Indore,Madhya Pradesh,452083,2024-12-31,Social Media,At Risk,No,Medium,15359
192,Diya Nair,Male,1991-08-02,Bengaluru,Karnataka,560096,2024-12-14,Organic Search,High Value,No,Low,21281
193,Vivaan Chatterjee,Female,1970-06-13,Jaipur,Rajasthan,302028,2026-06-11,Marketplace Campaign,New,Yes,High,35907
194,Swati Kumar,Female,1994-03-03,Pune,Maharashtra,411029,2026-03-23,Referral,New,No,High,29978
195,Kavya Patel,Female,1968-10-03,Mumbai,Maharashtra,400086,2026-03-14,Direct,New,Yes,Medium,28850
196,Sneha Mehta,Male,2001-03-10,Hyderabad,Telangana,500056,2025-01-12,Paid Search,High Value,Yes,Low,7001
197,Rajesh Sharma,Male,1970-12-03,Patna,Bihar,800078,2026-01-26,Referral,New,No,Low,14256
198,Ayaan Das,Female,1964-09-17,Indore,Madhya Pradesh,452095,2025-08-02,Social Media,New,Yes,High,6490
199,Krishna Joshi,Female,1991-08-17,Kochi,Kerala,682057,2025-09-18,Paid Search,New,No,High,44914
200,Diya Patel,Male,2004-05-07,Bengaluru,Karnataka,560025,2025-04-20,Social Media,New,Yes,High,22882
201,Divya Sharma,Male,1976-08-23,Jaipur,Rajasthan,302029,2024-11-08,Marketplace Campaign,At Risk,No,Medium,33244
202,Rajesh Rao,Male,2006-04-20,Chennai,Tamil Nadu,600030,2025-04-28,Social Media,High Value,Yes,Low,12639
203,Sanjay Gupta,Female,1983-10-13,Jaipur,Rajasthan,302088,2025-02-12,Marketplace Campaign,High Value,No,Medium,40127
204,Aadhya Agarwal,Male,2000-05-02,Jaipur,Rajasthan,302096,2024-11-23,Social Media,New,No,Medium,32229
205,Ananya Chatterjee,Male,1990-03-24,Bengaluru,Karnataka,560089,2024-10-14,Social Media,High Value,Yes,Medium,49370
206,Gaurav Reddy,Female,1972-05-07,Ahmedabad,Gujarat,380022,2025-05-21,Paid Search,New,Yes,Low,25247
207,Nikhil Reddy,Female,1984-06-08,Bengaluru,Karnataka,560094,2025-03-15,Social Media,High Value,Yes,Medium,30000
208,Divya Gupta,Female,1977-11-08,Hyderabad,Telangana,500033,2026-03-24,Paid Search,High Value,No,High,23698
209,Arjun Chatterjee,Female,2006-02-03,Kochi,Kerala,682063,2026-01-20,Organic Search,Returning,Yes,Medium,23650
210,Priya Bhat,Female,1998-03-14,Ahmedabad,Gujarat,380043,2026-05-23,Referral,New,No,Low,14081
211,Divya Verma,Male,1979-11-01,Bengaluru,Karnataka,560071,2024-11-10,Direct,New,No,Low,21503
212,Arjun Mehta,Male,1974-09-16,Kolkata,West Bengal,700077,2025-02-06,Social Media,Returning,No,Medium,35947
213,Nisha Sen,Male,1986-08-28,Indore,Madhya Pradesh,452024,2026-04-24,Organic Search,New,Yes,High,19123
214,Diya Mehta,Male,1995-01-31,Ahmedabad,Gujarat,380052,2025-01-02,Organic Search,At Risk,No,Low,12437
215,Vivaan Singh,Female,1992-08-05,Pune,Maharashtra,411020,2025-06-17,Paid Search,New,Yes,Medium,3449
216,Kirti Chowdhury,Female,2002-12-20,Chennai,Tamil Nadu,600062,2025-03-15,Paid Search,New,Yes,Low,15158
217,Poonam Chatterjee,Female,1969-07-10,Lucknow,Uttar Pradesh,226022,2025-09-01,Direct,New,No,High,38221
218,Vivaan Mehta,Male,1982-10-03,Patna,Bihar,800081,2024-11-05,Paid Search,New,No,High,8557
219,Ishaan Reddy,Female,2003-08-17,Delhi,Delhi,110056,2025-04-26,Referral,New,No,Low,37122
220,Ishaan Kulkarni,Male,1975-10-19,Chennai,Tamil Nadu,600089,2026-02-19,Paid Search,New,No,High,6471
221,Manish Sen,Female,1966-03-25,Pune,Maharashtra,411037,2025-12-09,Affiliate,High Value,No,Medium,2110
222,Rajesh Chowdhury,Male,1966-07-03,Bengaluru,Karnataka,560031,2025-07-18,Referral,New,No,Medium,15906
223,Vihaan Kumar,Female,2000-10-15,Kochi,Kerala,682015,2025-05-19,Social Media,At Risk,No,High,15718
224,Ananya Sharma,Female,1991-02-01,Lucknow,Uttar Pradesh,226070,2026-03-12,Social Media,New,No,Medium,49149
225,Pooja Nair,Male,1990-09-22,Kochi,Kerala,682088,2025-09-27,Paid Search,High Value,No,High,37610
226,Krishna Singh,Female,1976-05-12,Chennai,Tamil Nadu,600033,2026-06-21,Referral,New,No,High,30167
227,Sunita Singh,Male,1984-02-10,Jaipur,Rajasthan,302053,2025-02-20,Paid Search,New,Yes,High,21145
